email, pass
0.747377592349906@mail.com,user123
0.08201771476378883@mail.com,user123
0.21531538335637734@mail.com,user123
0.731061418029079@mail.com,user123
0.8074656887515889@mail.com,user123
0.8487793549836822@mail.com,user123
0.7824321330048439@mail.com,user123
0.13692505227712648@mail.com,user123
0.08594641136649094@mail.com,user123
0.8996964387681315@mail.com,user123
0.8315511448977433@mail.com,user123
0.9648311142215519@mail.com,user123 
0.30121663419363376@mail.com,user123
0.4955791008546171@mail.com,user123
0.5652124054843704@mail.com,user123
0.45775052907432673@mail.com,user123
0.23485579172113408@mail.com,user123
0.714710164664321@mail.com,user123
0.05123533228540442@mail.com,user123
0.08908132866922651@mail.com,user123
0.04611034547564301@mail.com,user123
0.28614806174931046@mail.com,user123
